idx,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5
0,-0.3826729349143726,-0.18814777806187613,-0.3334727188471086,-0.2794158402800847,0.3685883138254102
1,-0.40082031790018613,-0.1659128663854682,-0.33983293134399006,-0.2729498409646138,0.3593477785810699
2,-0.004368934554401424,-0.26283569725353306,-0.48117089973240273,0.459483190479466,-0.181006021464962
3,-0.41714671385247154,-0.1672745189426652,-0.34186126573949815,-0.22176200981782643,0.36439801828062224
4,0.04241604476337278,-0.6453240363528063,0.7709248916632521,0.19059325419026188,-0.4123545145528351
5,-0.33202820090401025,-0.5818236433747512,0.8914866873662721,-0.324121933089003,0.07750840228849669
6,-0.03497968175586952,-0.6255907668889678,0.7973987210685677,0.04298552201381728,-0.30945066700173646
7,-0.02462530779149261,-0.22534504604417102,-0.4963232258206178,0.4729098057735298,-0.21287603540326214
8,0.05470810368835943,-0.07223111686711955,-0.47928631381193687,-0.4581780744952435,-0.26778901555286794
9,-0.044798271106368984,-0.2259493797787286,-0.48676317178409784,0.46893157415599784,-0.17894991454204487
10,-0.14579340071215544,-0.18070784828479275,-0.4433521708363913,0.15328828158694952,-0.030684189334817726
11,-0.010695121252967092,-0.15977795023632377,-0.4752322032525801,0.05935360820509938,-0.19553936059118895
12,0.06522396585723703,-0.08931678780039065,-0.4752224628618327,-0.46128451336841664,-0.263626038272176
13,0.0633970989933955,-0.10779685109441255,-0.4752814657581793,-0.3478674438337743,-0.2579006984926116
14,-0.02039939792783657,-0.2090368667929108,-0.47454151080185725,0.260338802148032,-0.17352129475696074
15,0.05692908423105333,-0.07552897548964443,-0.4785286603757609,-0.45881425939586384,-0.2670779187439583
16,-0.07741779607810538,-0.14075674258105508,-0.4736635890746433,0.09908894306683938,-0.15553050234286953
17,-0.5051067095609681,-0.1453951243645474,-0.353533393686652,-0.00766356857357755,0.385927778894492
18,0.06422989342882157,-0.10750790933852913,-0.47505392718833284,-0.348413337150852,-0.2569163853142201
19,0.055446994578822933,-0.24936474661980787,-0.4491408107371072,0.02956809343568173,-0.15242115394496514
20,0.06480841892845786,-0.24965648727044845,-0.45182130089381195,0.034343766844394004,-0.16428281142845402
21,-0.35880961303673836,-0.2207181741603446,-0.3249085037775429,-0.2873185837810659,0.37944396539467995
22,-0.3455963568983273,-0.21035477425439653,-0.3262534808434855,-0.3365078005118579,0.36787895032527074
23,0.018183641901493963,-0.3164704511057565,-0.4556351623799057,0.4412582750035025,-0.12297777170985089
24,-0.07228230047972115,-0.2707957233855081,-0.4175753923930198,0.12708844630235044,0.006781371679749313
25,0.01606504303094798,-0.30952931347681784,-0.45166798950412623,0.3893913219918886,-0.1164676865464484
27,0.055798164838708454,-0.2497951026047571,-0.4490176745735337,0.029442935348423484,-0.152242182876105
28,0.06541691444357493,-0.25007625627207947,-0.45182894470816337,0.03425461908326964,-0.16455612701649455
29,0.018721878242214638,-0.2572367915201591,-0.4400366327799755,0.06458666297802629,-0.10602524063757844
31,-0.05239709742833716,-0.1685750359659167,-0.4651719250422929,0.08976161432791438,-0.14206242251808912
32,-0.4170125346971168,-0.1228495328506673,-0.35128529318730267,-0.31106060691326487,0.3315084817014138
33,-0.008705882179810227,-0.16118511512420602,-0.4758046328934132,0.05752278628094104,-0.19562042377088074
34,-0.1667510665411848,-0.155030126611256,-0.45069700468347607,0.16075541674793087,-0.04135487475281761
35,-0.4407013299355586,-0.14051749813983247,-0.3486905515086041,-0.21419349108322908,0.35616864091764927
36,-0.05479483730444899,-0.23025113586621512,-0.47932865560147475,0.4680139812233957,-0.15619252836114347
37,-0.41727967621751205,-0.12385654224216992,-0.35129762786353286,-0.3107260575671756,0.33085695772159673
38,-0.057602390810907046,-0.2301410146445707,-0.47859419433219996,0.4664658805702182,-0.1527886473045468
39,-0.10818712331998484,-0.8075587663191309,0.9765239659653938,0.3780159665207438,-0.08560852613694227
41,-0.2108493936759986,-0.8047879867568559,1.0072349139873165,0.3278378343636154,0.04738047160194499
42,-0.4402571481974456,-0.1393549368927121,-0.34886873062488644,-0.21444516487400403,0.3562435895654089
43,-0.1438057795474344,-0.183146628622576,-0.4426532081379676,0.15257872445456233,-0.0296659006533006
44,-0.029310449962643762,-0.19493601183008027,-0.478587489119293,0.2636176655537806,-0.1793998420604772
45,-0.021996061245038615,-0.22264833119659036,-0.48784964719060997,0.3516821970501721,-0.19685800832340966
